Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2013,Downstate Medical Center,Doctoral Institutions,4287,3859,428,797,548,249,2549,2389,160,941,922,19
2013,Dutchess Community College,Community Colleges,966,337,629,623,128,495,190,107,83,153,102,51
2013,Erie Community College,Community Colleges,1681,765,916,848,324,524,350,223,127,483,218,265
2013,Fashion Institute of Technology,Community Colleges,1625,769,856,944,240,704,361,281,80,320,248,72
2013,Finger Lakes Community College,Community Colleges,628,316,312,398,116,282,135,114,21,95,86,9
2013,Fulton-Montgomery Community College,Community Colleges,351,166,185,135,58,77,163,57,106,53,51,2
2013,Genesee Community College,Community Colleges,680,305,375,350,91,259,210,123,87,120,91,29
2013,Herkimer County Community College,Community Colleges,320,189,131,154,66,88,84,55,29,82,68,14
2013,Hudson Valley Community College,Community Colleges,1106,608,498,609,236,373,286,189,97,211,183,28
2013,Jamestown Community College,Community Colleges,573,241,332,341,77,264,103,84,19,129,80,49
2013,Jefferson Community College,Community Colleges,430,217,213,246,80,166,116,78,38,68,59,9
2013,Mohawk Valley Community College,Community Colleges,867,433,434,415,142,273,295,163,132,157,128,29
2013,Monroe Community College,Community Colleges,1831,926,905,910,320,590,449,314,135,472,292,180
2013,Nassau Community College,Community Colleges,2737,1127,1610,1586,489,1097,633,291,342,518,347,171
2013,Niagara County Community College,Community Colleges,712,308,404,396,109,287,192,90,102,124,109,15
2013,North Country Community College,Community Colleges,158,93,65,99,41,58,38,31,7,21,21,0
2013,N.Y. State College of Ceramics,Doctoral Institutions,144,127,17,55,49,6,53,43,10,36,35,1
2013,Onondaga Community College,Community Colleges,1525,627,898,716,184,532,507,249,258,302,194,108
2013,Orange County Community College,Community Colleges,1183,422,761,449,152,297,396,119,277,338,151,187
2013,Rockland Community College,Community Colleges,989,402,587,528,116,412,253,140,113,208,146,62
2013,Schenectady County Community College,Community Colleges,564,207,357,293,68,225,201,88,113,70,51,19
2013,State College of Optometry,Doctoral Institutions,343,263,80,120,61,59,122,106,16,101,96,5
2013,S.U. College at Brockport,Comprehensive Colleges,1396,979,417,619,352,267,401,279,122,376,348,28
2013,S.U. College at Buffalo,Comprehensive Colleges,1860,1260,600,842,416,426,585,430,155,433,414,19
2013,S.U. College at Cortland,Comprehensive Colleges,1342,921,421,584,295,289,362,259,103,396,367,29
2013,S.U. College at Fredonia,Comprehensive Colleges,1049,697,352,502,259,243,282,194,88,265,244,21
2013,S.U. College at Geneseo,Comprehensive Colleges,925,734,191,352,253,99,266,186,80,307,295,12
2013,S.U. College at New Paltz,Comprehensive Colleges,1426,977,449,649,347,302,406,280,126,371,350,21
2013,S.U. College at Old Westbury,Comprehensive Colleges,665,450,215,322,150,172,201,160,41,142,140,2
2013,S.U. College at Oneonta,Comprehensive Colleges,1142,858,284,468,277,191,345,262,83,329,319,10
2013,S.U. College at Oswego,Comprehensive Colleges,1420,1040,380,590,344,246,388,261,127,442,435,7
2013,S.U. College at Plattsburgh,Comprehensive Colleges,1125,798,327,495,275,220,307,219,88,323,304,19
2013,S.U. College at Potsdam,Comprehensive Colleges,884,723,161,367,261,106,257,216,41,260,246,14
2013,S.U. College at Purchase,Comprehensive Colleges,1026,615,411,428,169,259,338,207,131,260,239,21
2013,Suffolk County Community College,Community Colleges,2486,1047,1439,1646,314,1332,381,364,17,459,369,90
2013,Sullivan County Community College,Community Colleges,221,138,83,104,49,55,78,53,25,39,36,3
2013,SUNY at Albany,Doctoral Institutions,3688,2209,1479,1109,617,492,1757,834,923,822,758,64
2013,SUNY at Binghamton,Doctoral Institutions,3281,1972,1309,897,624,273,1406,531,875,978,817,161
2013,SUNY at Buffalo,Doctoral Institutions,6639,4377,2262,2389,1610,779,2922,1540,1382,1328,1227,101
2013,SUNY at Stony Brook,Doctoral Institutions,11760,9051,2709,2471,1705,766,6827,5099,1728,2247,2247,215
2013,SUNY Coll/Env Sci & Forestry,Doctoral Institutions,600,367,233,163,122,41,289,118,171,148,127,21
2013,SUNY Empire State College,Comprehensive Colleges,1722,706,1016,1153,203,950,224,200,24,345,303,42
2013,SUNY Inst of Tech at Utica/Rome,Technology Colleges,441,264,177,192,80,112,149,89,60,100,95,5
2013,SUNY Maritime College,Technology Colleges,349,262,87,135,85,50,123,98,25,91,79,12
2013,System Administration,SUNY System,568,489,79,5,0,5,390,369,21,173,120,53
2013,Tompkins-Cortland Community College,Community Colleges,540,250,290,349,69,280,93,89,4,98,92,6
2013,Ulster County Community College,Community Colleges,401,183,218,228,75,153,74,51,23,99,57,42
2013,Upstate Medical Center,Doctoral Institutions,6384,5059,1325,619,402,217,4283,3431,852,1482,1226,256
2013,Westchester Community College,Community Colleges,1511,531,980,1091,165,926,292,242,50,128,124,4
2012,Adirondack Community College,Community Colleges,428,210,218,276,92,184,77,55,22,75,63,12
2012,Broome Community College,Community Colleges,758,396,362,427,168,259,190,117,73,141,111,30
2012,Cayuga County Community College,Community Colleges,469,184,285,257,55,202,104,85,19,108,44,64
2012,Clinton Community College,Community Colleges,231,133,98,146,57,89,53,51,2,32,25,7
